"job_category","job_role","skills","experience","education","resume_text"
"Cardiology","Cardiologist","Hypertension, Heart Failure, Research, Echocardiography, Clinical Diagnosis, ECG, Team Leadership, GDPR, Leadership","1","Doctor of Medicine (MD)","Liam Lee — Cardiologist
Seattle, WA • liam.lee78@gmail.com • +44-7303-833-765
Objective: Seeking a Cardiologist position where I can apply Research and Echocardiography to deliver measurable impact.

Summary:
Cardiologist with 1 years of experience in cardiology environments. Hands-on with Heart Failure, Team Leadership, Hypertension, Research. Known for ownership and mentoring. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements.

Experience:
Cardiologist | LexBridge Associates (2.2 yrs)
In this role, I focused on Team Leadership and Heart Failure while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 29% and improved stakeholder satisfaction.

Cardiologist | FinEdge (2.7 yrs)
In this role, I focused on Hypertension and Echocardiography while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 36% and improved stakeholder satisfaction.

Skills:
- Hypertension
- Heart Failure
- Research
- Echocardiography
- Clinical Diagnosis
- ECG
- Team Leadership
- GDPR
- Leadership

Education: Doctor of Medicine (MD)

Recognition: Employee of the Quarter
Publication: co-authored a case study on campaign attribution
Outside work, I contribute to internal knowledge bases and experiment with small prototypes to validate ideas."
"Healthcare","Dentist","Infection Control, Prosthodontics, Radiography, Cosmetic Dentistry, Oral Surgery, Restorative Dentistry, Root Canal, Treatment Planning, Confluence, JIRA","14","Bachelor of Dental Surgery (BDS)","Olivia Clark
Mumbai | olivia.clark88@yahoo.com | +91-9839-0525-5168
Career Objective: To grow as a Dentist by solving real problems using Cosmetic Dentistry while collaborating with high-performing teams.

Overview:
Dentist with 14 years of experience in healthcare environments. Hands-on with JIRA, Root Canal, Confluence, Radiography. Known for problem solving and communication. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements.

Competencies:
- Infection Control
- Prosthodontics
- Radiography
- Cosmetic Dentistry
- Oral Surgery
- Restorative Dentistry
- Root Canal
- Treatment Planning
- Confluence
- JIRA

Career:
Dentist | LexBridge Associates (1 yrs)
In this role, I focused on Infection Control and Prosthodontics while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 16% and improved stakeholder satisfaction.

Dentist | BlueWave Labs (1.8 yrs)
In this role, I focused on JIRA and Treatment Planning while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 28% and improved stakeholder satisfaction.

Dentist | FinEdge (2.6 yrs)
In this role, I focused on Prosthodontics and Confluence while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 36% and improved stakeholder satisfaction.

Dentist | FinEdge (1.6 yrs)
In this role, I focused on Radiography and Treatment Planning while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 12% and improved stakeholder satisfaction.

Portfolio:
Imaging Report Triage Assistant — created a demo that combines data processing with domain-specific heuristics, and documented learnings for wider adoption.

Education: Bachelor of Dental Surgery (BDS)

Extras: Patient Care Excellence recognition"
"Legal","Corporate Counsel","Compliance, IP Basics, Legal Research, Policy Drafting, Vendor Management, Corporate Law, Negotiation, Contracts","3","JD (Juris Doctor)","RESUME
Ishaan Wilson
Mumbai
Email: ishaan.wilson8@outlook.com | Phone: +44-7180-187-849
Overview:
Corporate Counsel with 3 years of experience in legal environments. Hands-on with Contracts, Vendor Management, Policy Drafting, Compliance. Known for problem solving and problem solving. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements. Regularly mentor juniors through code reviews, pairing sessions, and structured onboarding plans.

Career:
Corporate Counsel | MediCore (1 yrs)
- Delivered initiatives using Policy Drafting and Policy Drafting, improving a key metric by 8%.
- Collaborated with product stakeholders to translate requirements into weekly milestones and release notes.
- Identified bottlenecks, introduced automation, and reduced defects/turnaround time by 24%.
- Coached 3–5 team members; led brown-bag sessions and created a reusable onboarding wiki.

Lawyer | Nimbus Health (1 yrs)
- Delivered initiatives using Policy Drafting and Vendor Management, improving a key metric by 29%.
- Collaborated with sales stakeholders to translate requirements into weekly milestones and release notes.
- Identified bottlenecks, introduced standardized templates, and reduced defects/turnaround time by 44%.

Competencies: Compliance, IP Basics, Legal Research, Policy Drafting, Vendor Management, Corporate Law, Negotiation, Contracts

Portfolio:
- Candidate-to-Role Matching Prototype: built a small demo using Contracts; added evaluation and edge-case handling.
- Integrated logging/metrics and wrote clear documentation so others could reproduce the results.

Education: JD (Juris Doctor)

Extras: Hackathon finalist"
"Data Science","Data Scientist","A/B Testing, Feature Engineering, XGBoost, Scikit-learn, Model Evaluation, Python, SQL","12","Master's in Data Science","Nandini Sharma
Mumbai | nandini.sharma25@outlook.com | +44-7559-243-532
Profile:
Data Scientist with 12 years of experience in data science environments. Hands-on with SQL, Feature Engineering, Python, Scikit-learn. Known for time management and time management. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements. Regularly mentor juniors through code reviews, pairing sessions, and structured onboarding plans.

Core Skills:
- A/B Testing
- Feature Engineering
- XGBoost
- Scikit-learn
- Model Evaluation
- Python
- SQL

Work History:
Data Scientist | BrightLeaf Marketing (3.2 yrs)
In this role, I focused on Feature Engineering and Scikit-learn while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 12% and improved stakeholder satisfaction.

Data Analyst | BrightLeaf Marketing (1.6 yrs)
In this role, I focused on Python and Python while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 37% and improved stakeholder satisfaction.

Selected Work:
Contract Review Checklist Automation — created a demo that combines data processing with domain-specific heuristics, and documented learnings for wider adoption.

Academics: Master's in Data Science

Certifications: Certified ScrumMaster (CSM)
Open Source: submitted bug fixes to a popular React component library
Publication: wrote a technical blog series on scalable ETL"
"Software Engineering","Mobile App Developer","Unit Testing, Kotlin, UI/UX, Firebase, REST APIs, Git, Android","16","Bachelor's in Computer Science","Omar Garcia
Hyderabad | omar.garcia77@gmail.com | +44-7982-340-513
Professional Summary:
Mobile App Developer with 16 years of experience in software engineering environments. Hands-on with Firebase, UI/UX, Unit Testing, REST APIs. Known for time management and cross-functional collaboration. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements.

Skills: Unit Testing, Kotlin, UI/UX, Firebase, REST APIs, Git, Android

Experience:
Mobile App Developer | Radiant Imaging (1.4 yrs)
- Delivered initiatives using UI/UX and Kotlin, improving a key metric by 19%.
- Collaborated with product stakeholders to translate requirements into weekly milestones and release notes.
- Identified bottlenecks, introduced standardized templates, and reduced defects/turnaround time by 33%.

Frontend Engineer | FinEdge (3.1 yrs)
- Delivered initiatives using Git and UI/UX, improving a key metric by 27%.
- Collaborated with data stakeholders to translate requirements into weekly milestones and release notes.
- Identified bottlenecks, introduced automation, and reduced defects/turnaround time by 45%.

Projects:
- Clinical Workflow Optimization Dashboard: built a small demo using Git; added evaluation and edge-case handling.
- Integrated logging/metrics and wrote clear documentation so others could reproduce the results.

Education: Bachelor's in Computer Science

Certifications: Certified ScrumMaster (CSM)
I value clear documentation, pragmatic trade-offs, and continuous learning."
"Cardiology","Cardiologist","Hypertension, Heart Failure, Clinical Diagnosis, Echocardiography, Guideline-based Care, Cardiac Catheterization, Research, Patient Counseling, ECG","13","DM Cardiology","Emily Doe — Cardiologist
Chennai • emily.doe99@outlook.com • +44-7368-265-859
Overview:
Cardiologist with 13 years of experience in cardiology environments. Hands-on with Hypertension, Cardiac Catheterization, Heart Failure, Patient Counseling. Known for problem solving and cross-functional collaboration. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements. Regularly mentor juniors through code reviews, pairing sessions, and structured onboarding plans.

Career:
Cardiologist | Radiant Imaging (3.2 yrs)
In this role, I focused on Research and Clinical Diagnosis while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 19% and improved stakeholder satisfaction.

Cardiologist | BlueWave Labs (1 yrs)
In this role, I focused on Cardiac Catheterization and Research while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 37% and improved stakeholder satisfaction.

Cardiologist | Orbit Systems (2.9 yrs)
In this role, I focused on Heart Failure and Research while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 39% and improved stakeholder satisfaction.

Competencies:
- Hypertension
- Heart Failure
- Clinical Diagnosis
- Echocardiography
- Guideline-based Care
- Cardiac Catheterization
- Research
- Patient Counseling
- ECG

Portfolio:
Resume Parsing & Skill Extraction Pipeline — created a demo that combines data processing with domain-specific heuristics, and documented learnings for wider adoption.

Education: DM Cardiology

Extras: Best Paper Award at a regional conference
Open Source: submitted bug fixes to a popular React component library
Publication: published a clinical poster on patient outcomes"
"Legal","Lawyer","Legal Research, Client Counseling, Case Management, Litigation, Due Diligence, Writing, Compliance, Contract Drafting, Teaching, GDPR","17","JD (Juris Doctor)","John Sharma
Delhi | john.sharma23@yahoo.com | +91-9823-9774-7119
About Me:
Lawyer with 17 years of experience in legal environments. Hands-on with Teaching, GDPR, Litigation, Case Management. Known for customer empathy and cross-functional collaboration. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements.

Employment:
Lawyer | MediCore (2.5 yrs)
In this role, I focused on Client Counseling and Due Diligence while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 28% and improved stakeholder satisfaction.

Corporate Counsel | FinEdge (1.9 yrs)
In this role, I focused on Due Diligence and Teaching while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 16% and improved stakeholder satisfaction.

Corporate Counsel | Orbit Systems (2.6 yrs)
In this role, I focused on Case Management and GDPR while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 30% and improved stakeholder satisfaction.

Lawyer | FinEdge (1.6 yrs)
In this role, I focused on Litigation and Compliance while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 37% and improved stakeholder satisfaction.

Technical Stack:
- Legal Research
- Client Counseling
- Case Management
- Litigation
- Due Diligence
- Writing
- Compliance
- Contract Drafting
- Teaching
- GDPR

Key Projects:
Contract Review Checklist Automation — created a demo that combines data processing with domain-specific heuristics, and documented learnings for wider adoption.

Qualifications: JD (Juris Doctor)

Certifications: TOEFL (Score 110)
Awards & Publications: Innovation Award for internal tooling"
"Cardiology","Cardiologist","Cardiac Catheterization, Echocardiography, Hypertension, Guideline-based Care, Clinical Diagnosis, Patient Counseling, Team Leadership, ECG, Heart Failure, Research","6","MBBS","John Smith
Mumbai | john.smith61@gmail.com | +1-206-524-9431
Profile:
Cardiologist with 6 years of experience in cardiology environments. Hands-on with Hypertension, Heart Failure, ECG, Cardiac Catheterization. Known for problem solving and cross-functional collaboration. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements.

Work History:
Cardiologist | BlueWave Labs (3.0 yrs)
In this role, I focused on Heart Failure and Heart Failure while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 31% and improved stakeholder satisfaction.

Cardiac Nurse | MediCore (3.0 yrs)
In this role, I focused on Heart Failure and ECG while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 40% and improved stakeholder satisfaction.

Cardiac Nurse | BlueWave Labs (1.5 yrs)
In this role, I focused on Guideline-based Care and Clinical Diagnosis while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 36% and improved stakeholder satisfaction.

Core Skills:
- Cardiac Catheterization
- Echocardiography
- Hypertension
- Guideline-based Care
- Clinical Diagnosis
- Patient Counseling
- Team Leadership
- ECG
- Heart Failure
- Research

Academics: MBBS

Certifications: Kubernetes Administrator (CKA)
Highlights: Top 1% performer in annual review
Open Source: triaged issues and improved README examples for an open-source MLOps tool
Publication: published a short paper on OCR post-processing"
"Data Science","Data Analyst","Python, Dashboards, Excel, Reporting, Statistics, Stakeholder Management, Power BI, Tableau, SQL, Confluence, Agile","13","M.Tech in AI/ML","Chen Clark — Data Analyst
Austin, TX • chen.clark54@gmail.com • +91-9863-6381-9569
Professional Summary:
Data Analyst with 13 years of experience in data science environments. Hands-on with Reporting, Statistics, Power BI, Tableau. Known for stakeholder management and customer empathy. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements. Regularly mentor juniors through code reviews, pairing sessions, and structured onboarding plans.

Experience:
Data Analyst | BrightLeaf Marketing (2.8 yrs)
In this role, I focused on Tableau and Excel while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 31% and improved stakeholder satisfaction.

Data Scientist | Radiant Imaging (2.4 yrs)
In this role, I focused on Agile and Python while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 14% and improved stakeholder satisfaction.

ML Engineer | BrightLeaf Marketing (1.3 yrs)
In this role, I focused on Statistics and Power BI while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 22% and improved stakeholder satisfaction.

Skills:
- Python
- Dashboards
- Excel
- Reporting
- Statistics
- Stakeholder Management
- Power BI
- Tableau
- SQL
- Confluence

Projects:
Candidate-to-Role Matching Prototype — created a demo that combines data processing with domain-specific heuristics, and documented learnings for wider adoption.

Education: M.Tech in AI/ML"
"Marketing","Social Media Manager","Campaigns, Influencer Marketing, Community Management, Analytics, Content Calendar, Paid Social, Branding, Video Editing, Copywriting, Agile, Leadership","0","MBA in Marketing","RESUME
Liam Doe
Toronto, ON
Email: liam.doe20@outlook.com | Phone: +91-9870-1874-9240
Profile:
Social Media Manager with 0 years of experience in marketing environments. Hands-on with Campaigns, Content Calendar, Branding, Copywriting. Known for problem solving and cross-functional collaboration. Comfortable owning deliverables end-to-end—from discovery to delivery and post-release improvements. Regularly mentor juniors through code reviews, pairing sessions, and structured onboarding plans.

Work History:
Social Media Manager | Orbit Systems (1.1 yrs)
In this role, I focused on Content Calendar and Leadership while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 31% and improved stakeholder satisfaction.

SEO Specialist | Nimbus Health (2.2 yrs)
In this role, I focused on Leadership and Paid Social while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 14% and improved stakeholder satisfaction.

Social Media Manager | Radiant Imaging (3.1 yrs)
In this role, I focused on Video Editing and Influencer Marketing while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 25% and improved stakeholder satisfaction.

Social Media Manager | MediCore (2.0 yrs)
In this role, I focused on Copywriting and Leadership while partnering with cross-functional teams. I helped streamline processes, improved reliability, and supported delivery of multiple releases. One highlight was driving a change that reduced cycle time by 20% and improved stakeholder satisfaction.

Core Skills:
- Campaigns
- Influencer Marketing
- Community Management
- Analytics
- Content Calendar
- Paid Social
- Branding
- Video Editing
- Copywriting
- Agile

Academics: MBA in Marketing

Highlights: Innovation Award for internal tooling
Open Source: triaged issues and improved README examples for an open-source MLOps tool
Publication: co-authored an article in a legal journal on compliance trends"
